"Air temperature Out Monitor: Iteration","Air temperature Out Monitor: Air temperature Out Monitor (K)","Coolant Temperature Out Monitor: Iteration","Coolant Temperature Out Monitor: Coolant Temperature Out Monitor (K)"
68.0,363.06706787291836,68.0,342.79639159309255
69.0,363.23772184195144,69.0,342.7798432655897
70.0,363.3908804711768,70.0,342.7837303223768
71.0,363.5275771197288,71.0,342.8067000743838
72.0,363.6487671134044,72.0,342.8475576424894
73.0,363.75561938825945,73.0,342.90171745931656
74.0,363.849168298978,74.0,342.9654164165975
75.0,363.9304619630989,75.0,343.03446333703266
76.0,364.0008688805788,76.0,343.10415594821035
77.0,364.06154461162095,77.0,343.171180790268
78.0,364.11375424170603,78.0,343.2333609805709
79.0,364.15870274761687,79.0,343.2870030633856
80.0,364.19746997664276,80.0,343.33195868810435
81.0,364.23102054815905,81.0,343.36691652798123
82.0,364.26018650840865,82.0,343.38914344948716
83.0,364.2856945808626,83.0,343.3992763883257
84.0,364.30821975886465,84.0,343.3977572657556
85.0,364.32832896031977,85.0,343.3865390973448
86.0,364.3464557014365,86.0,343.3679398956178
87.0,364.36292964166853,87.0,343.3446828335003
88.0,364.378010504017,88.0,343.3185948001123
89.0,364.391860713178,89.0,343.29138075072336
90.0,364.404589112924,90.0,343.26433439769795
91.0,364.41625112717634,91.0,343.2383964364559
92.0,364.4268794489259,92.0,343.21435279799607
93.0,364.4364953869227,93.0,343.1928524153184
94.0,364.44511240184045,94.0,343.1742053565069
95.0,364.45275063504386,95.0,343.15891548779484
96.0,364.45944437366165,96.0,343.1468289374054
97.0,364.4652441244474,97.0,343.1379991397194
98.0,364.4702035298528,98.0,343.13241926493447
99.0,364.4743928676664,99.0,343.129776574167
100.0,364.47788796897646,100.0,343.1300499481509
101.0,364.4807712892403,101.0,343.1329629652898
102.0,364.48312698968965,102.0,343.1381582298741
103.0,364.4850379279536,103.0,343.1451896814681
104.0,364.4865829519852,104.0,343.1536267348978
105.0,364.4878344728496,105.0,343.1630345256911
106.0,364.48885424915574,106.0,343.17302368947423
107.0,364.48969387324144,107.0,343.183321516152
108.0,364.4903925553785,108.0,343.1936727323399
109.0,364.49097763691765,109.0,343.2038712637444
110.0,364.4914672393067,110.0,343.21381081297744
111.0,364.4918727379116,111.0,343.22334117341535
112.0,364.4922006448487,112.0,343.2324363060419
113.0,364.4924560183528,113.0,343.2409723041601
114.0,364.4926446929584,114.0,343.2490619992808
115.0,364.49277113659826,115.0,343.2562148742583
116.0,364.49284071424125,116.0,343.26234276283884
117.0,364.4928576489525,117.0,343.26715813263723
118.0,364.49282687316753,118.0,343.27067341368496
119.0,364.4927596959408,119.0,343.2730884966838
120.0,364.49266719741416,120.0,343.2745154509799
121.0,364.49256251435185,121.0,343.2749972183055
122.0,364.4924549248638,122.0,343.27465557925143
123.0,364.49235232560795,123.0,343.27354471181815
124.0,364.49225894628324,124.0,343.27165317654516
125.0,364.49217924758256,125.0,343.2690093050517
126.0,364.49212049510663,126.0,343.2656454569415
127.0,364.4920934130562,127.0,343.2617930616682
128.0,364.49211506855227,128.0,343.25767176662225
129.0,364.4922047718,129.0,343.25358462691923
130.0,364.4923782636117,130.0,343.24966944855225
131.0,364.49264677331297,131.0,343.2460609641296
132.0,364.4930138424739,132.0,343.2428312483326
133.0,364.4934759034233,133.0,343.24009575902403
134.0,364.4940199786082,134.0,343.2379263986863
135.0,364.4946275520437,135.0,343.23637856180846
136.0,364.4952748322328,136.0,343.235474900125
137.0,364.49593257908987,137.0,343.23518150562205
138.0,364.4965707138676,138.0,343.2354675699608
139.0,364.49716377147865,139.0,343.23630555975546
140.0,364.49768956561564,140.0,343.2376968691573
141.0,364.49812905019803,141.0,343.23972247896165
142.0,364.49846663202544,142.0,343.24239313095984
143.0,364.49868647320136,143.0,343.2456632249232
144.0,364.4987739368949,144.0,343.2494014910054
145.0,364.4987163691657,145.0,343.25345482761406
146.0,364.49850129175445,146.0,343.2575268970304
147.0,364.4981200879641,147.0,343.2612259564377
148.0,364.49757126096915,148.0,343.2641397201915
149.0,364.4968660637397,149.0,343.2660697438685
150.0,364.4960242105904,150.0,343.26692265282657
151.0,364.4950800211338,151.0,343.2667969662106
152.0,364.4940784818578,152.0,343.26580382712365
153.0,364.4930744506278,153.0,343.2640931759721
154.0,364.49212548373055,154.0,343.26184057196036
155.0,364.49128898143863,155.0,343.25920503671495
156.0,364.4906175249665,156.0,343.25636494232936
157.0,364.4901488028625,157.0,343.25346571285394
158.0,364.4899037149572,158.0,343.2506442695143
159.0,364.48988222536667,159.0,343.24805584419227
160.0,364.4900657660779,160.0,343.24589484049824
161.0,364.490413874972,161.0,343.2442862914072
162.0,364.49087166727384,162.0,343.2432640947852
163.0,364.49137284182484,163.0,343.24292973819496
164.0,364.4918500465274,164.0,343.24339780950623
165.0,364.4922380163483,165.0,343.24460819729785
166.0,364.49247605528313,166.0,343.24634953194436
167.0,364.492520732826,167.0,343.2483831623918
168.0,364.4923475142101,168.0,343.25046480551686
169.0,364.491954307879,169.0,343.25236408484164
170.0,364.491363725612,170.0,343.25390851641157
171.0,364.49062232638533,171.0,343.2549928812088
172.0,364.4897967775852,172.0,343.25556245820803
173.0,364.4889673895849,173.0,343.2555870655358
174.0,364.48821690899524,174.0,343.255029801551
175.0,364.4876260546542,175.0,343.2538811719711
176.0,364.48726123700936,176.0,343.25219837410776
177.0,364.48716648039283,177.0,343.25014302593945
178.0,364.4873587539382,178.0,343.24791250377064
179.0,364.4878271231985,179.0,343.24570569580544
180.0,364.4885321350635,180.0,343.2436772861325
181.0,364.4894090232104,181.0,343.241926060321
182.0,364.4903758605797,182.0,343.2404952622482
183.0,364.4913474272214,183.0,343.2394028491324
184.0,364.4922456301988,184.0,343.2386422631285
185.0,364.49300779240156,185.0,343.23816146533864
186.0,364.4935940216054,186.0,343.23788256152966
187.0,364.49399378982224,187.0,343.23773374369455
188.0,364.49422383403254,188.0,343.23765265845253
189.0,364.494321840396,189.0,343.2375309818807
190.0,364.4943398486269,190.0,343.2371907529084
191.0,364.4943398832944,191.0,343.23653297864485
192.0,364.49438316352405,192.0,343.235517196623
193.0,364.4945213525292,193.0,343.23405453854144
194.0,364.49478912955175,194.0,343.23207562301405
195.0,364.4952031494336,195.0,343.2295632819211
196.0,364.4957608654028,196.0,343.2265677606569
197.0,364.4964402087568,197.0,343.22327260556364
198.0,364.4972014130437,198.0,343.2199123234145
199.0,364.49799448392815,199.0,343.2166839327962
200.0,364.49876419183056,200.0,343.2137401331842
